pid,score,stay_time
0,0.5627527060270959,0.8008333333333333
1,-0.19037807191772438,0.38861233666666667
2,0.5467766464050741,0.38861233666666667
3,0.5686558883751898,0.3333333333333333
4,0.2550075269896862,0.3852777783333333
5,0.6840203249819612,0.3852777783333333
6,-0.17151411588370413,0.3852777783333333
7,0.46498609170573935,0.3852777783333333
8,0.6575934561738408,0.3852777783333333
9,0.9926936124631051,0.3852777783333333
10,1.2016295582141354,0.3852777783333333
11,1.0085840142529385,0.8761111116666667
12,0.5724832188127004,0.5
13,0.9953775364409833,0.3852777783333333
14,0.8085874406722088,0.3852777783333333
15,0.20998876610935802,0.3852777783333333
16,0.8824129318000411,0.3852777783333333
17,0.8385113987429609,0.3852777783333333
18,0.18777483820699226,0.3333333333333333
19,0.601501559469589,1.0
20,1.924388237334152,0.3852777783333333
21,0.5179364746898948,0.38861233666666667
22,0.5324329086741361,0.38861233666666667
23,0.9814389624736879,1.066875
24,0.2682327818775614,0.5
25,0.1642117758618854,0.3333333333333333
26,1.014274288417625,0.6666666666666666
27,-0.25202472796500675,0.2602777783333333
28,1.0251469041879269,0.324814815
29,0.05008830808896547,0.5
30,3.536382956404799,0.8333333333333334
31,0.33651360588066037,0.38440476166666665
32,0.4554282483188459,0.30902777833333334
33,1.0904005124585625,0.5
34,0.44141276845715993,0.5
35,0.43815960613365557,0.9568518516666666
36,0.9214908054768088,0.5
37,1.6954226482563737,1.0
38,0.42347847489462753,0.450185185
39,0.4635387992845067,0.38440476166666665
40,0.07036138712927098,0.38440476166666665
41,3.0229634435077983,0.6666666666666666
42,0.7104942130335868,0.5
43,2.5004229547634234,0.8333333333333334
44,0.9841707700117829,0.5
45,0.712783247885894,0.38861233666666667
46,0.8670135070879398,0.8333333333333334
47,0.4583135794030704,0.38861233666666667
48,0.7874052616488239,1.0
49,0.6251822114749149,1.0
50,-0.026102476948682396,0.5
51,0.15858369724530352,0.450185185
52,1.5187530627059533,0.5
53,3.0792733591843295,0.4166666666666667
54,0.5723933924176265,0.436180555
55,0.4529385795276535,0.436180555
56,0.5048399760676947,0.5100277783333333
57,1.1033770814718433,0.5100277783333333
58,1.3444403584477247,0.5112037033333333
59,1.5038354941701428,0.3333333333333333
60,0.7029575429369581,0.5
61,0.9183495483637861,0.44794038
62,0.8877858164953812,0.44794038
63,0.667323558241244,0.45246527833333333
64,2.1139333100139392,0.3333333333333333
65,0.7746682717823654,0.45246527833333333
66,0.5187575790283931,0.45246527833333333
67,0.5074345484785516,0.45246527833333333
68,4.959860047639797,0.7067746916666666
69,1.2874135113316316,0.45246527833333333
70,1.7713402735117514,0.6520090433333333
71,1.1032075046274685,0.45246527833333333
72,4.395680408588217,0.45246527833333333
73,1.4110775068167012,0.7067746916666666
74,0.6397479038287466,0.7067746916666666
75,0.46149211680868807,0.7067746916666666
76,3.48575051356814,1.0288888883333334
77,1.098693146363278,1.0
78,1.5671455828127778,0.5
79,1.2132909308692321,0.31768199166666666
80,1.1606525961350478,1.0
81,2.056561328826907,0.31768199166666666
82,0.8011600340596855,1.0
83,1.0287060536205086,0.6666666666666666
84,-0.1838677279320271,0.5
85,0.8191824118777735,0.45246527833333333
86,0.3482793635592656,0.32826558333333333
87,0.4951985291951001,0.5
88,4.747795852418178,1.0
89,0.6009554350105784,0.5
90,-0.017776266363151327,0.5480613433333333
